"Domain","n Items","Mean Loading (SD)","Mean Discrimination (SD)","Mean Thresholds (b1, b2, b3)","Ordinal Alpha (domain)","Omega (domain)"
"Cognitive",12,"0.667 (0.041)","1.560 (0.167)","-1.131, 0.061, 1.140","0.905","0.906"
"Affective",12,"0.570 (0.063)","1.205 (0.207)","-1.262, -0.029, 1.039","0.852","0.853"
"Conative",12,"0.638 (0.062)","1.448 (0.229)","-1.189, 0.017, 1.091","0.892","0.892"
