"N","Group","Domain","Param","True","Reps_Used","Mean_Est","Bias","Rel_Bias","Emp_SD","RMSE","Mean_SE","SE_Bias","Coverage_95"
1000,"b3","Conative","It36_b3",1.205,200,1.204,-0.001,0,0.084,0.084,0.08,-0.049,0.925
300,"Phi","Cognitive-Affective","r(Cog,Aff)",0.4,200,0.402,0.002,0.005,0.059,0.059,0.057,-0.023,0.925
300,"Phi","Cognitive-Conative","r(Cog,Con)",0.35,200,0.352,0.002,0.006,0.063,0.062,0.058,-0.07,0.92
300,"Phi","Affective-Conative","r(Aff,Con)",0.48,200,0.487,0.007,0.016,0.056,0.056,0.054,-0.036,0.94
300,"a","Cognitive","It1_a",1.3,200,1.315,0.015,0.011,0.149,0.149,0.163,0.091,0.98
300,"a","Cognitive","It2_a",1.345,200,1.363,0.017,0.013,0.161,0.162,0.164,0.021,0.955
300,"a","Cognitive","It3_a",1.391,200,1.413,0.022,0.016,0.169,0.17,0.17,0.003,0.98
300,"a","Cognitive","It4_a",1.436,200,1.456,0.02,0.014,0.186,0.186,0.171,-0.077,0.94
300,"a","Cognitive","It5_a",1.482,200,1.498,0.016,0.011,0.175,0.175,0.176,0.003,0.96
300,"a","Cognitive","It6_a",1.527,200,1.538,0.011,0.007,0.18,0.18,0.177,-0.014,0.97
300,"a","Cognitive","It7_a",1.573,200,1.608,0.036,0.023,0.198,0.2,0.183,-0.074,0.945
300,"a","Cognitive","It8_a",1.618,200,1.648,0.03,0.019,0.195,0.197,0.187,-0.044,0.94
300,"a","Cognitive","It9_a",1.664,200,1.699,0.036,0.022,0.195,0.198,0.191,-0.021,0.955
300,"a","Cognitive","It10_a",1.709,200,1.727,0.018,0.01,0.179,0.18,0.194,0.084,0.97
300,"a","Cognitive","It11_a",1.755,200,1.795,0.041,0.023,0.174,0.179,0.199,0.139,0.97
300,"a","Cognitive","It12_a",1.8,200,1.834,0.034,0.019,0.213,0.215,0.202,-0.051,0.935
300,"a","Affective","It13_a",0.9,200,0.926,0.026,0.029,0.14,0.142,0.147,0.047,0.965
