"Parameter","Value"
"Sample Size","1,000"
"Total Items","36"
"Items/Domain","12"
"Scale","4-category ordinal scale"
"Phi Range","0.35-0.48"
"a Range","0.90-1.80"
"b Range","-1.419-1.336"
