"N","Replications","With_Errors","All_Categories_Used","CFA_Converged","CFA_Admissible","GRM_Converged","GRM_SE_OK","Mean_CFI","Mean_TLI","Mean_RMSEA","Mean_SRMR","ChiSq_Reject_Rate_05","Peak_Theta_Cognitive","Peak_Theta_Affective","Peak_Theta_Conative","Mean_Seconds_per_Rep"
1000,200,0,200,200,200,200,200,0.996,0.996,0.008,0.028,0.035,"0.07 [-0.00, 0.20]","0.08 [0.00, 0.20]","0.22 [0.10, 0.30]",17.021
300,200,0,200,200,200,200,200,0.974,0.973,0.022,0.05,0.02,"0.08 [-0.10, 0.30]","0.08 [-0.10, 0.30]","0.23 [0.10, 0.40]",13.778
